County,Precinct,Precinct ID,Anthony Brown,Warren Christopher,Matthew Fogg,Glenn Ivey,Joseline Pena-Melnyk,Terence Strait
Peince George,902,009-002,NA,NA,NA,NA,NA,NA
Peince George,903,009-003,10,3,0,4,10,1
Peince George,904,009-004,NA,NA,NA,NA,NA,NA
Peince George,905,009-005,NA,NA,NA,NA,NA,NA
Peince George,906,009-006,NA,NA,NA,NA,NA,NA
Peince George,907,009-007,NA,NA,NA,NA,NA,NA
Peince George,908,009-008,NA,NA,NA,NA,NA,NA
Peince George,909,009-009,NA,NA,NA,NA,NA,NA
Peince George,910,009-010,NA,NA,NA,NA,NA,NA
Peince George,911,009-011,NA,NA,NA,NA,NA,NA
Peince George,912,009-012,17,1,1,17,2,0
Peince George,913,009-013,NA,NA,NA,NA,NA,NA
Peince George,914,009-014,0,0,0,0,0,0
Peince George,915,009-015,NA,NA,NA,NA,NA,NA
Peince George,1001,010-001,100,8,2,50,105,3
Peince George,1002,010-002,172,27,4,108,376,4
Peince George,1003,010-003,91,10,4,53,196,1
Peince George,1004,010-004,141,8,3,84,232,4
Peince George,1005,010-005,88,13,11,163,384,2
Peince George,1006,010-006,NA,NA,NA,NA,NA,NA
Peince George,1007,010-007,138,8,4,73,125,4
Peince George,1008,010-008,117,10,4,64,102,7
Peince George,1009,010-009,143,7,3,88,182,2
Peince George,1010,010-010,146,12,4,106,118,2
Peince George,1011,010-011,NA,NA,NA,NA,NA,NA
Peince George,1012,010-012,295,18,9,278,347,3
Peince George,1013,010-013,234,20,11,177,288,8
Peince George,1014,010-014,61,3,3,26,40,0
Peince George,1101,011-001,NA,NA,NA,NA,NA,NA
Peince George,1102,011-002,NA,NA,NA,NA,NA,NA
Peince George,1103,011-003,NA,NA,NA,NA,NA,NA
Peince George,1104,011-004,NA,NA,NA,NA,NA,NA
Peince George,1105,011-005,NA,NA,NA,NA,NA,NA
Peince George,1201,012-001,150,10,7,107,37,2
Peince George,1202,012-002,146,9,3,128,34,0
Peince George,1203,012-003,267,7,9,143,20,2
Peince George,1204,012-004,352,4,6,154,36,6
Peince George,1205,012-005,288,14,9,216,53,3
Peince George,1206,012-006,258,6,4,173,23,1
Peince George,1207,012-007,281,7,6,136,16,1
Peince George,1208,012-008,157,38,9,133,44,0
Peince George,1209,012-009,216,10,5,111,23,1
Peince George,1210,012-010,312,41,5,322,86,4
Peince George,1211,012-011,348,12,10,311,62,0
Peince George,1212,012-012,263,18,4,147,42,4
Peince George,1213,012-013,279,40,5,278,40,1
Peince George,1214,012-014,215,8,3,261,113,0
Peince George,1215,012-015,254,19,3,245,33,0
Peince George,1216,012-016,138,11,8,125,33,1
Peince George,1217,012-017,67,3,2,44,12,0
Peince George,1218,012-018,35,2,0,19,6,0
Peince George,1301,013-001,64,1,2,53,12,0
Peince George,1302,013-002,181,6,5,136,72,0
Peince George,1303,013-003,198,7,2,169,21,3
Peince George,1304,013-004,206,6,3,118,22,1
Peince George,1305,013-005,398,7,6,282,75,1
Peince George,1306,013-006,348,9,4,290,66,1
Peince George,1307,013-007,473,5,3,256,78,0
Peince George,1308,013-008,109,4,3,93,34,1
Peince George,1309,013-009,291,9,4,362,30,0
Peince George,1310,013-010,407,10,5,337,61,4
Peince George,1311,013-011,392,7,13,259,43,1
