County,Precinct,Freddie Dickson,Donna Edwards,Ralph Jaffe,Theresa Scaldaferri,Charles Smith,Violet Staley,Blaine Taylor,Ed Tinus,Chris Van Hollen,Lih Young
Garrett,301,8,45,3,4,2,5,3,0,32,3
Garrett,302,3,18,0,1,2,3,1,0,13,0
Garrett,400,2,9,0,1,2,3,3,0,14,2
Garrett,500,5,35,1,7,9,2,3,0,36,4
Garrett,600,3,45,6,7,3,4,0,4,48,3
Garrett,700,8,26,2,5,3,4,4,1,32,3
Garrett,801,5,12,1,3,3,0,5,0,6,1
Garrett,802,1,6,1,3,0,1,3,0,8,1
Garrett,900,2,19,3,4,2,3,3,1,39,2
Garrett,1000,6,25,5,3,8,4,2,2,23,0
Garrett,1100,0,4,0,0,0,0,0,0,2,0
Garrett,1200,1,10,2,2,1,1,1,0,10,0
Garrett,1300,6,22,2,6,2,1,2,1,6,1
Garrett,1401,7,31,2,4,6,5,2,0,37,1
Garrett,1402,3,17,1,0,3,2,0,1,10,0
Garrett,1500,1,9,0,1,0,0,1,0,18,0
Garrett,1600,10,41,7,4,8,6,6,2,26,4
Garrett,6001,0,0,0,0,0,0,0,0,0,0
Garrett,6002,0,0,0,0,0,0,0,0,0,0
Garrett,7000,0,0,0,0,0,0,0,0,0,0
Garrett,7500,0,0,0,0,0,0,0,0,0,0
Garrett,8000,0,0,0,0,0,0,0,0,0,0
Harford,101,17,244,3,11,9,7,2,1,135,11
Harford,102,4,109,1,7,3,3,1,2,147,1
Harford,103,8,86,2,5,4,4,5,3,94,3
Harford,104,9,146,9,8,0,8,2,0,205,3
Harford,105,3,143,3,3,1,3,7,2,123,4
Harford,106,11,174,6,10,7,11,6,3,103,2
Harford,107,2,38,0,2,1,1,5,0,109,0
Harford,108,5,117,5,8,5,11,5,1,209,9
Harford,109,5,87,5,2,3,7,4,1,149,4
Harford,110,10,234,8,11,6,9,5,1,205,6
Harford,111,4,70,6,11,2,5,4,1,218,5
Harford,112,8,94,1,2,4,1,2,0,195,6
Harford,113,1,54,0,2,0,3,1,0,63,4
Harford,114,6,93,6,6,4,12,2,1,265,5
Harford,115,12,124,1,11,2,8,4,0,167,3
Harford,116,4,209,5,1,4,6,5,0,187,6
Harford,117,0,17,2,2,0,3,2,1,30,0
Harford,118,6,106,5,6,0,2,0,0,120,1
Harford,119,11,251,2,5,4,7,4,4,133,1
Harford,120,26,254,0,9,5,14,4,0,168,8
Harford,121,1,19,0,3,1,4,1,1,52,1
Harford,122,0,7,0,0,0,0,0,0,12,0
Harford,123,1,21,0,0,0,1,0,1,20,1
Harford,124,1,29,1,4,2,3,1,0,46,1
Harford,125,0,0,0,0,0,0,0,0,4,1
Harford,126,3,54,1,4,0,3,0,1,88,1
Harford,127,3,42,0,3,0,0,1,0,73,2
Harford,141,10,97,4,9,2,7,4,0,154,2
Harford,145,2,75,2,6,0,8,2,5,191,6
Harford,201,0,37,2,1,0,1,1,0,24,1
Harford,202,6,80,8,7,4,4,5,3,266,5
Harford,203,3,80,2,6,0,2,0,1,106,2
Harford,204,0,10,0,0,0,1,0,0,12,0
Harford,205,0,2,0,1,0,0,0,0,4,1
Harford,207,1,3,0,0,0,0,0,0,2,0
Harford,210,6,207,4,4,2,8,3,0,156,2
Harford,211,2,140,2,7,0,4,1,1,146,4
Harford,214,6,140,3,7,2,10,3,1,84,1
Harford,215,4,175,1,2,6,13,3,0,143,4
Harford,219,0,23,0,0,0,1,0,0,10,1
Harford,220,0,1,1,0,0,0,0,0,0,0
Harford,221,1,3,0,0,1,0,0,1,3,0
Harford,222,0,0,0,0,0,0,0,0,4,1
Harford,302,3,56,7,5,1,5,1,2,184,3
Harford,303,6,41,6,14,1,4,5,4,255,2
Harford,304,2,35,1,6,5,2,1,0,97,4
Harford,305,5,63,3,6,1,6,4,5,181,1
Harford,306,3,48,5,6,4,1,3,4,238,2
Harford,307,7,50,1,8,1,2,5,0,152,2
Harford,308,9,55,6,13,0,5,4,1,201,1
Harford,309,3,65,11,7,0,6,3,4,251,3
Harford,310,1,66,5,6,3,9,3,1,216,4
Harford,311,2,51,3,4,2,5,0,0,150,2
Harford,312,5,51,3,5,3,8,4,2,155,4
Harford,313,3,55,6,6,2,6,3,3,218,8
Harford,314,2,34,4,4,2,4,1,0,118,2
Harford,315,3,58,3,3,2,1,1,2,96,5
Harford,316,2,50,6,10,4,3,6,0,163,3
Harford,317,2,49,4,1,2,2,1,0,185,3
Harford,318,2,47,5,11,4,4,0,1,127,4
Harford,319,8,70,3,8,0,7,5,2,165,3
Harford,320,3,51,2,8,5,1,0,5,152,3
Harford,321,4,70,6,5,0,4,2,1,152,6
Harford,322,9,62,5,13,5,4,1,5,146,2
Harford,323,3,79,6,6,1,6,3,0,228,2
Harford,324,1,36,2,3,1,4,2,3,122,2
Harford,326,0,10,2,3,0,2,0,0,39,2
Harford,327,0,9,2,0,0,1,0,1,29,1
Harford,401,0,20,3,9,0,2,2,2,104,1
Harford,402,2,43,4,10,2,1,2,3,173,2
Harford,403,6,55,9,4,8,4,9,6,155,2
Harford,404,5,50,3,5,1,3,2,2,130,2
Harford,405,5,47,5,4,1,2,1,0,164,4
Harford,406,2,22,2,3,1,8,4,1,112,1
Harford,407,1,20,2,2,0,0,2,0,80,2
Harford,501,3,46,5,7,4,1,7,2,155,2
Harford,502,1,39,0,4,3,3,3,0,116,3
Harford,503,4,44,4,8,5,4,3,1,152,5
Harford,504,0,42,5,2,5,1,4,1,99,3
Harford,601,5,132,8,5,1,8,1,0,128,5
Harford,602,5,121,6,10,1,11,4,1,166,3
Harford,603,10,90,7,5,2,7,3,1,184,7
Harford,604,1,3,0,0,0,1,0,0,23,0
Harford,605,1,29,0,0,1,0,0,0,12,1
Harford,606,5,153,10,8,5,15,4,0,267,5
Harford,607,2,3,0,1,0,0,0,0,22,2
Harford,6001,0,0,0,0,0,0,0,0,0,0
Harford,6002,0,0,0,0,0,0,0,0,0,0
Harford,6003,0,0,0,0,0,0,0,0,0,0
Harford,6004,0,0,0,0,0,0,0,0,0,0
Harford,7000,0,0,0,0,0,0,0,0,0,0
Harford,7500,0,0,0,0,0,0,0,0,0,0
Harford,8000,0,0,0,0,0,0,0,0,0,0
Montgomery,101,2,62,0,1,1,3,0,0,176,2
Montgomery,102,0,86,5,1,1,6,3,1,236,9
Montgomery,103,12,176,1,6,2,13,2,0,427,3
Montgomery,104,9,130,6,8,5,4,5,0,187,7
Montgomery,105,3,127,4,3,3,3,2,3,294,5
Montgomery,106,2,79,2,2,0,1,3,1,158,4
Montgomery,107,0,13,0,1,0,0,0,0,36,2
Montgomery,201,12,183,4,14,4,5,7,1,353,11
Montgomery,202,13,206,3,14,5,7,1,3,325,10
Montgomery,203,16,214,8,12,2,17,3,0,323,14
Montgomery,204,7,204,6,8,1,4,5,3,376,9
Montgomery,205,7,187,4,11,4,12,5,0,317,5
Montgomery,206,14,140,8,12,8,6,3,1,327,12
Montgomery,207,0,1,0,0,0,0,0,0,3,0
Montgomery,208,4,120,5,4,7,3,1,2,263,7
Montgomery,209,2,20,0,0,1,0,1,0,25,0
Montgomery,210,10,58,3,3,4,3,1,1,135,2
Montgomery,211,7,170,3,7,5,6,6,1,294,11
Montgomery,301,2,78,5,1,2,3,1,1,297,3
Montgomery,302,1,56,1,2,3,4,3,1,278,3
Montgomery,401,10,142,6,7,2,4,6,2,520,6
Montgomery,402,1,86,0,3,3,5,3,0,519,4
Montgomery,403,4,131,5,9,1,11,1,1,734,9
Montgomery,404,1,80,3,5,0,4,2,0,409,4
Montgomery,405,3,90,3,2,3,2,2,2,374,3
Montgomery,406,4,75,2,11,5,3,2,7,318,4
Montgomery,407,6,81,6,8,6,6,4,1,373,14
Montgomery,408,3,124,2,6,1,5,1,2,877,4
Montgomery,409,2,56,4,3,1,3,2,0,295,7
Montgomery,410,1,75,1,9,0,6,0,1,464,4
Montgomery,411,0,7,1,0,0,0,0,0,75,0
Montgomery,412,2,58,5,3,2,2,3,1,663,6
Montgomery,413,1,55,3,3,1,0,1,0,605,0
Montgomery,414,4,103,2,7,2,6,5,3,553,1
Montgomery,415,7,41,0,3,1,6,1,2,186,3
Montgomery,416,3,99,4,5,1,6,0,1,631,3
Montgomery,417,2,81,3,1,0,4,0,0,497,2
Montgomery,418,3,62,6,2,0,1,2,1,634,1
Montgomery,419,5,52,1,3,0,7,0,1,214,5
Montgomery,420,2,56,2,5,0,5,2,0,644,6
Montgomery,421,2,44,5,2,1,0,1,0,613,6
Montgomery,423,0,5,0,0,0,0,0,0,32,0
Montgomery,424,1,53,2,5,1,1,2,0,376,8
