"","Precinct","Freddie Dickson","Donna Edwards","Ralph Jaffe","Theresa Scaldaferri","Charles Smith","Violet Staley","Blaine Taylor","Chris Van Hollen","Lih Young"
"72",701,0,138,0,0,1,0,0,85,0
"73",702,5,92,4,4,5,5,1,131,3
"74",703,7,116,3,9,4,9,2,185,5
"75",704,3,112,6,6,1,6,3,182,8
"76",705,10,170,8,5,3,3,0,217,9
"77",706,7,277,4,4,4,3,2,205,2
"78",707,6,347,0,3,4,7,2,194,3
"79",708,4,228,2,14,3,2,4,148,0
"80",709,14,606,2,8,6,7,4,306,5
"81",710,12,437,6,7,4,4,6,264,4
"82",711,15,631,1,1,7,2,1,280,1
"83",712,5,531,1,5,1,2,2,159,2
"84",713,11,467,3,2,1,2,0,216,0
"85",714,5,178,1,8,1,4,1,185,2
"86",715,9,405,2,2,2,2,4,190,0
"87",716,5,113,1,3,3,1,3,101,4
"88",717,4,173,3,3,1,5,2,108,0
"89",718,0,16,0,0,1,0,0,4,0
"90",719,3,52,0,0,0,3,0,42,0
"91",720,1,30,2,0,0,0,0,13,1
"92",721,1,34,0,0,0,2,0,20,0
"93",722,8,664,1,4,2,3,1,307,6
"94",723,2,313,0,1,3,3,1,146,2
"95",724,0,50,1,0,0,1,0,36,0
"96",801,1,90,3,4,2,1,3,57,1
"97",901,10,621,3,5,6,2,5,223,2
"98",902,6,246,2,6,2,1,2,95,1
"99",903,0,17,0,0,0,1,1,7,1
"100",904,4,325,3,6,2,3,3,173,0
"101",905,13,445,1,5,2,1,0,145,2
"102",906,15,608,0,5,8,1,2,243,3
"103",907,14,535,2,3,6,2,7,285,2
"104",908,20,767,5,6,16,7,4,388,3
"105",909,5,178,1,6,3,2,2,99,0
"106",910,13,349,1,3,4,4,4,161,5
"107",911,6,485,3,2,6,2,4,164,5
"108",912,2,23,0,0,0,0,0,11,1
"109",913,11,338,2,6,4,5,2,148,4
"110",914,0,0,0,0,0,0,0,0,0
"111",915,0,0,0,0,1,0,0,0,1
"112",1001,11,171,1,6,0,3,0,77,0
"113",1002,24,349,7,12,9,12,4,256,6
"114",1003,7,167,1,5,1,8,0,160,1
"115",1004,25,276,1,9,3,5,4,144,3
"116",1005,4,246,6,8,4,8,2,372,10
"117",1006,22,364,8,14,7,11,4,242,6
"118",1007,7,187,0,7,4,5,1,139,4
"119",1008,8,153,2,4,7,4,2,121,4
"120",1009,10,245,4,11,7,7,1,132,7
"121",1010,7,206,1,3,3,10,3,154,5
"122",1011,12,214,2,6,2,2,1,116,4
"123",1012,22,545,3,12,8,8,6,323,15
"124",1013,12,399,6,13,5,7,2,286,9
"125",1014,3,84,0,3,3,3,0,36,2
"126",1101,13,404,2,7,4,4,4,140,0
"127",1102,17,450,5,5,6,2,3,215,4
"128",1103,12,550,5,7,5,6,5,179,4
"129",1104,18,527,2,12,13,8,3,316,6
"130",1105,2,60,0,1,2,0,0,29,0
"131",1201,4,211,1,5,2,6,0,85,2
"132",1202,4,244,0,4,3,2,0,66,1
"133",1203,7,355,0,5,2,3,0,75,0
"134",1204,13,418,2,4,7,5,1,107,2
"135",1205,10,424,2,3,2,4,1,140,4
"136",1206,3,353,0,3,5,6,2,92,0
"137",1207,10,346,1,5,3,0,3,79,3
"138",1208,4,284,1,2,1,4,0,85,0
"139",1209,5,282,3,3,7,5,1,55,1
"140",1210,10,567,5,4,4,3,0,178,6
"141",1211,8,497,5,4,4,3,2,223,2
"142",1212,8,361,1,3,5,2,2,96,2
"143",1213,8,496,0,2,5,0,0,131,1
"144",1214,6,433,0,3,5,2,0,156,3
"145",1215,4,423,1,3,5,4,4,110,1
"146",1216,7,234,2,6,0,2,2,65,2
"147",1217,1,87,2,0,2,0,0,38,0
"148",1218,0,49,0,0,0,0,2,11,0
"149",1301,2,106,1,4,1,0,0,16,2
"150",1302,8,315,2,3,1,5,3,65,0
"151",1303,13,285,1,4,4,1,0,90,0
"152",1304,3,256,2,0,1,3,0,85,3
"153",1305,10,485,1,3,4,2,3,258,1
"154",1306,11,519,3,4,4,2,2,173,1
"155",1307,14,613,5,7,4,7,2,159,5
"156",1308,1,185,1,4,1,2,1,50,1
"157",1309,10,492,1,4,1,1,1,190,0
"158",1310,6,613,4,11,5,8,5,173,3
"159",1311,8,517,2,1,8,1,1,173,2
"160",1312,5,630,3,2,4,2,0,220,2
"161",1313,10,369,2,0,1,3,0,145,0
"162",1314,10,556,2,6,5,5,2,204,3
"163",1315,9,587,0,1,1,4,2,227,1
"164",1316,17,447,0,5,3,10,3,146,2
"165",1317,12,319,2,2,4,1,3,68,1
"166",1318,5,120,1,1,0,0,2,31,1
"167",1319,0,12,0,0,0,0,0,3,0
"168",1320,3,99,3,1,2,0,0,33,2
"169",1321,7,235,2,0,4,1,0,113,1
"170",1322,2,53,0,0,1,0,0,16,0
"171",1323,4,126,0,1,3,1,0,48,1
"172",1324,5,198,1,5,0,1,1,64,0
"173",1325,4,36,0,0,0,0,0,16,0
"174",1401,12,314,1,11,2,6,0,271,5
"175",1402,19,471,9,18,6,11,0,215,7
"176",1403,4,129,6,4,4,4,1,188,2
"177",1404,10,138,3,4,1,4,4,175,6
"178",1405,8,97,4,4,1,3,3,152,9
"179",1406,3,63,6,3,3,4,1,164,3
"180",1407,9,323,2,7,3,4,5,241,7
"181",1408,3,193,0,6,3,4,2,111,3
"182",1409,18,391,9,11,7,10,4,289,1
"183",1410,5,157,1,5,1,4,2,131,5
"184",1411,4,77,2,3,1,4,0,95,1
"185",1412,7,299,1,6,1,1,2,234,6
"186",1413,7,130,0,2,1,1,0,103,4
"187",1414,0,0,0,0,0,0,0,2,0
"188",1415,0,47,0,5,0,0,0,38,0
"189",1416,1,16,0,2,1,1,0,16,0
"190",1417,0,0,0,0,0,0,0,0,0
"191",1501,15,596,7,7,6,4,5,252,4
"192",1502,6,332,1,5,4,5,2,115,0
"193",1503,10,409,3,7,8,6,4,178,2
"194",1504,13,489,4,11,6,4,5,222,3
"195",1505,12,1041,4,11,8,5,4,362,8
"196",1506,11,401,3,7,5,9,2,193,4
"197",1601,7,77,0,3,3,3,2,46,1
"198",1602,1,91,3,1,1,1,1,103,2
"199",1603,12,458,4,12,8,3,5,665,6
"200",1604,5,273,2,10,6,5,3,273,2
"201",1605,0,14,1,1,1,0,0,7,0
"202",1701,4,333,1,10,3,3,4,352,4
"203",1702,4,207,3,5,3,3,3,191,3
"204",1703,5,121,3,11,3,7,4,215,9
"205",1704,11,225,1,2,5,4,3,138,1
"206",1705,8,134,1,2,1,2,0,165,1
"207",1706,5,119,3,7,4,4,0,96,3
"208",1707,8,351,1,11,5,5,1,316,0
"209",1708,0,68,1,3,1,3,1,57,3
"210",1709,8,144,0,7,2,4,1,134,4
"211",1710,22,375,3,21,7,9,9,260,6
"212",1711,13,226,0,6,4,1,0,315,3
"213",1712,10,196,1,7,7,10,1,198,7
"214",1713,0,15,2,1,2,1,0,15,2
"215",1714,5,174,8,10,5,7,1,88,2
"216",1715,1,22,0,0,0,1,0,14,0
"217",1801,8,447,2,5,7,2,0,125,1
"218",1802,1,201,0,1,0,2,0,50,0
"219",1803,3,197,1,5,7,3,1,51,0
"220",1804,2,183,1,4,2,0,0,55,1
"221",1805,5,186,1,1,2,1,2,54,1
"222",1806,5,528,1,7,1,1,0,147,0
"223",1807,10,411,2,5,3,4,4,104,1
"224",1808,10,226,1,4,4,2,2,87,2
"225",1809,12,363,0,6,1,2,2,96,1
"226",1810,6,196,0,0,0,1,1,58,0
"227",1811,4,258,2,6,3,3,1,57,2
"228",1812,1,25,0,0,0,0,0,7,0
"229",1813,0,78,0,2,0,0,1,26,0
"230",1814,2,66,0,0,1,1,0,21,1
"231",1815,0,10,0,0,0,2,0,3,0
"232",1816,0,9,0,0,0,0,0,1,0
"233",1901,16,234,3,8,8,3,2,229,4
"234",1902,13,184,4,17,3,6,4,124,5
"235",1903,3,171,5,2,2,5,3,439,5
"236",1904,7,170,2,8,5,2,2,64,0
"237",1905,0,0,0,0,0,0,0,0,0
"238",2001,18,337,4,8,3,8,1,200,6
"239",2002,5,96,1,0,1,3,3,41,0
"240",2003,4,327,2,6,6,4,1,101,0
"241",2004,14,266,3,5,4,3,1,86,1
"242",2005,14,210,5,7,11,9,2,195,2
"243",2006,13,199,3,9,1,2,1,131,0
"244",2007,4,238,0,2,2,2,0,74,3
"245",2008,8,182,3,5,1,1,1,75,1
"246",2009,11,276,1,2,2,2,0,118,1
"247",2010,9,107,2,2,0,3,1,71,2
"248",2011,19,367,5,9,2,2,2,125,0
"249",2012,9,179,4,6,2,3,1,67,4
"250",2013,2,59,0,4,0,2,2,23,0
"251",2014,2,29,1,1,0,1,0,16,2
"252",2015,0,0,0,0,0,0,0,0,0
"253",2016,4,59,1,0,1,1,1,25,0
"254",2017,1,1,0,0,0,2,0,0,0
"255",2018,6,84,0,1,3,1,0,19,1
"256",2019,17,265,3,4,3,3,1,93,2
"257",2020,4,59,1,0,2,1,0,19,0
"258",2021,7,86,2,2,0,2,2,78,1
"259",2101,11,167,5,9,4,7,4,247,4
"260",2102,2,103,3,5,0,5,1,222,2
"261",2103,5,334,2,8,6,6,1,524,8
"262",2104,11,134,4,9,5,5,3,169,9
"263",2105,8,192,2,9,3,7,2,142,5
"264",2106,1,252,1,4,4,2,3,443,3
"265",2107,10,133,7,11,1,10,5,253,3
"266",2108,16,216,5,3,2,6,1,98,5
"267",2109,5,96,3,1,4,2,3,105,1
"268",2110,11,146,6,8,3,5,4,194,8
"269",2111,8,299,3,8,5,7,1,202,5
"270",2112,2,42,1,4,1,3,0,107,0
"271",2113,15,353,3,10,7,4,4,248,5
"272",2114,8,149,1,11,2,2,0,152,3
"273",2115,3,120,2,2,3,2,0,146,4
"274",2116,15,230,1,10,1,2,1,149,4
"275",2117,11,179,14,16,9,20,4,192,20
"276",2118,12,345,2,9,5,9,4,209,3
"277",2119,0,0,0,0,0,0,0,1,0
"278",6001,0,0,0,0,0,0,0,0,0
"279",6002,0,0,0,0,0,0,0,0,0
"280",6003,0,0,0,0,0,0,0,0,0
"281",6004,0,0,0,0,0,0,0,0,0
"282",6005,0,0,0,0,0,0,0,0,0
"283",6006,0,0,0,0,0,0,0,0,0
"284",6007,0,0,0,0,0,0,0,0,0
"285",6008,0,0,0,0,0,0,0,0,0
"286",7000,0,0,0,0,0,0,0,0,0
"287",7500,0,0,0,0,0,0,0,0,0
"288",8000,0,0,0,0,0,0,0,0,0
